iter	Passed	Remaining
0	1	115
1	2	113
2	3	119
3	4	111
4	6	125
5	7	118
6	8	113
7	9	111
8	10	105
9	11	101
10	12	98
11	13	96
12	13	93
13	14	91
14	15	89
15	16	87
16	17	84
17	18	82
18	18	80
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	26	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	58
36	33	57
37	34	56
38	35	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	69	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
